"Schnall Condition","Schnall Moral judgment","Johnson Condition","Johnson Moral judgment"
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",5
NA,NA,"clean priming",4.33
NA,NA,"clean priming",6.67
NA,NA,"clean priming",7
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6.17
NA,NA,"neutral priming",6.83
NA,NA,"neutral priming",7
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7
NA,NA,"neutral priming",4.33
NA,NA,"neutral priming",6.33
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",4.67
NA,NA,"clean priming",5.67
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",8.83
NA,NA,"clean priming",8.17
NA,NA,"clean priming",6.83
NA,NA,"clean priming",6.83
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",4.83
NA,NA,"neutral priming",7.33
NA,NA,"neutral priming",6.17
NA,NA,"neutral priming",5.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",9
NA,NA,"clean priming",5.67
NA,NA,"neutral priming",4.5
NA,NA,"neutral priming",6.33
NA,NA,"clean priming",4.67
NA,NA,"neutral priming",7.67
NA,NA,"clean priming",7
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7
NA,NA,"clean priming",6.17
NA,NA,"clean priming",5
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6
NA,NA,"neutral priming",7.5
NA,NA,"neutral priming",6.5
NA,NA,"neutral priming",5.67
NA,NA,"clean priming",6
NA,NA,"neutral priming",8
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",5.5
NA,NA,"clean priming",6.5
NA,NA,"clean priming",6.67
NA,NA,"clean priming",8
NA,NA,"clean priming",6.33
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",3.67
NA,NA,"neutral priming",6.83
NA,NA,"neutral priming",6
NA,NA,"neutral priming",7.33
NA,NA,"clean priming",5.5
NA,NA,"neutral priming",6.67
NA,NA,"clean priming",7
NA,NA,"neutral priming",6
NA,NA,"clean priming",6.5
NA,NA,"neutral priming",5
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",7.83
NA,NA,"clean priming",7.5
NA,NA,"clean priming",5
NA,NA,"clean priming",7
NA,NA,"neutral priming",4.83
NA,NA,"neutral priming",6
NA,NA,"neutral priming",8
NA,NA,"clean priming",6.83
NA,NA,"neutral priming",7
NA,NA,"neutral priming",5.33
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",4
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7.83
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7
NA,NA,"clean priming",6.33
NA,NA,"neutral priming",6.33
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.5
NA,NA,"clean priming",6.17
NA,NA,"clean priming",7.33
NA,NA,"neutral priming",7
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",8
NA,NA,"clean priming",7
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",4.5
NA,NA,"clean priming",7
NA,NA,"neutral priming",8
NA,NA,"neutral priming",6
NA,NA,"clean priming",7.17
NA,NA,"neutral priming",4.67
NA,NA,"clean priming",5.5
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",7.33
NA,NA,"clean priming",7.5
NA,NA,"neutral priming",7.17
NA,NA,"clean priming",4.5
NA,NA,"clean priming",7.17
NA,NA,"clean priming",6.67
NA,NA,"neutral priming",6.67
NA,NA,"clean priming",7
NA,NA,"clean priming",5.5
NA,NA,"neutral priming",7
NA,NA,"neutral priming",6.83
NA,NA,"clean priming",6.17
NA,NA,"clean priming",7.67
NA,NA,"clean priming",5.33
NA,NA,"clean priming",5
NA,NA,"neutral priming",3.67
NA,NA,"neutral priming",7.67
NA,NA,"neutral priming",6.67
NA,NA,"neutral priming",6.33
