"Diff reliability","Diff confidence","Condition"
-0.16666651,0.22222233,"Control"
-0.44444442,-0.22222233,"Control"
-0.16666675,-0.66666651,"Control"
-0.11111116,-0.055555344,"Control"
0.4444443,0.11111116,"Control"
-0.22222233,-0.055555344,"Control"
0,-0.33333302,"Control"
-0.33333325,0.66666698,"Control"
0.33333302,-0.11111116,"Control"
0,-0.05555582,"Control"
0,0.22222233,"Control"
0.27777791,0.11111116,"Control"
0.22222209,-0.11111069,"Control"
0.16666675,0,"Control"
-0.27777767,0.27777815,"Control"
-0.77777767,0.38888884,"Control"
-0.22222233,-0.05555582,"Control"
0.27777767,-0.22222185,"Control"
-0.33333325,-0.16666651,"Control"
-0.055555582,-0.11111116,"Control"
0.11111116,-0.11111116,"Control"
0.16666675,-0.22222185,"Control"
0.11111116,-0.5,"Control"
-0.22222233,-0.16666651,"Control"
0.11111093,0,"Control"
0,-0.11111116,"Control"
0.16666675,0.11111116,"Control"
-0.055555582,0.11111069,"Control"
-0.88888884,0.27777815,"Control"
0.16666675,0.5,"Control"
-0.61111116,0.44444466,"Control"
-0.11111116,0.11111116,"Control"
0.055555344,-0.61111116,"Control"
-0.55555558,0.44444418,"Control"
-0.055555582,-0.33333349,"Control"
-0.27777767,-0.44444418,"Control"
0.44444418,0.88888884,"Control"
0.66666698,0.83333349,"Control"
-0.11111116,0,"Control"
0,0.38888884,"Control"
0.22222233,-0.16666651,"Control"
-0.11111116,-0.22222233,"Control"
-0.22222233,1,"Control"
