"Diff reliability","Diff confidence","Condition"
-0.55555534,0,"BadNews"
-0.33333325,0,"BadNews"
-1.1666665,0.16666651,"BadNews"
0,-0.38888884,"BadNews"
-0.88888884,0.38888884,"BadNews"
-0.77777791,0.055555344,"BadNews"
0.27777791,-0.05555582,"BadNews"
0,-0.11111116,"BadNews"
0.44444442,-0.33333349,"BadNews"
-1.7222223,-1.5555558,"BadNews"
-0.61111116,0.55555582,"BadNews"
0.38888884,-0.38888884,"BadNews"
-0.16666675,-0.27777767,"BadNews"
-0.94444466,0.94444466,"BadNews"
0.16666651,0.38888931,"BadNews"
-0.94444442,-0.55555582,"BadNews"
-0.38888884,0.33333349,"BadNews"
-0.94444442,0.72222233,"BadNews"
0.44444442,-0.77777815,"BadNews"
-0.22222209,0,"BadNews"
0.16666675,0.5,"BadNews"
-0.61111116,0.33333349,"BadNews"
-0.88888884,0.55555582,"BadNews"
-3.7777777,0.77777767,"BadNews"
-0.33333325,0.5,"BadNews"
0.66666675,0.055555344,"BadNews"
-0.27777767,0.22222233,"BadNews"
-0.94444466,0.72222233,"BadNews"
-0.22222209,-0.11111116,"BadNews"
0.77777767,-0.05555582,"BadNews"
0.61111116,-0.77777815,"BadNews"
-0.55555558,0,"BadNews"
0.16666651,-0.05555582,"BadNews"
-0.33333337,1.6111107,"BadNews"
-2.0555553,0.16666651,"BadNews"
-0.5,-0.72222221,"BadNews"
-0.22222233,0.55555534,"BadNews"
0.055555582,-0.16666651,"BadNews"
-0.22222233,0.38888884,"BadNews"
-0.5,1,"BadNews"
-1.2222222,0.38888884,"BadNews"
-0.44444454,0.11111069,"BadNews"
0.16666651,0.55555534,"BadNews"
0.22222209,-0.22222185,"BadNews"
0.38888884,0.55555582,"BadNews"
0.16666675,-0.16666651,"BadNews"
-2.5555556,0.5,"BadNews"
0.11111116,0.05555582,"BadNews"
0.5,0.22222185,"BadNews"
-0.66666663,0.22222233,"BadNews"
-0.49999988,0.5,"BadNews"
-2.2777777,-0.11111116,"BadNews"
-0.83333325,1,"BadNews"
-1,-0.5,"BadNews"
0.11111116,-0.44444466,"BadNews"
-0.27777767,-0.16666698,"BadNews"
-0.22222233,0.38888884,"BadNews"
-1.8333333,2.1666665,"BadNews"
-0.44444418,0.5,"BadNews"
0.055555344,0.44444418,"BadNews"
-0.16666675,0.77777767,"BadNews"
-0.16666651,0.055555344,"BadNews"
-0.44444442,-0.72222185,"BadNews"
-0.5,0.55555582,"BadNews"
-0.61111116,-0.77777767,"BadNews"
1,-0.72222233,"BadNews"
-0.61111116,1,"BadNews"
-1,0.44444418,"BadNews"
-1,0.83333349,"BadNews"
-0.5,0.44444466,"BadNews"
0.22222233,-0.27777767,"BadNews"
-1.1111112,0.88888884,"BadNews"
-0.72222209,0.72222233,"BadNews"
-0.61111116,0.16666651,"BadNews"
-1.6666666,0.5,"BadNews"
-0.66666675,-0.11111116,"BadNews"
-0.66666698,-0.72222233,"BadNews"
-1.2777779,-0.05555582,"BadNews"
0.77777767,0.33333302,"BadNews"
-0.5,-0.055555344,"BadNews"
-1.3888888,0.16666651,"BadNews"
-0.66666675,0.16666651,"BadNews"
-0.72222221,-0.055555344,"BadNews"
-0.94444454,0.61111116,"BadNews"
1.2777777,-0.055555344,"BadNews"
-0.72222221,0.38888884,"BadNews"
0.22222185,-0.055555344,"BadNews"
-1.1111112,0.88888884,"BadNews"
-0.16666675,-0.55555534,"BadNews"
-0.83333337,0.61111116,"BadNews"
-0.66666675,1.7222223,"BadNews"
1.8333335,2.2222223,"BadNews"
-0.22222233,0.61111069,"BadNews"
-0.55555534,-0.5,"BadNews"
-0.38888884,0.27777815,"BadNews"
0,0.61111116,"BadNews"
-0.16666651,0.38888884,"Control"
0.55555558,0.33333302,"Control"
-0.11111116,-0.22222233,"Control"
-0.11111116,0.66666651,"Control"
0.33333325,0.38888884,"Control"
-0.055555582,-0.11111116,"Control"
0.16666675,-0.66666698,"Control"
-0.05555582,-0.16666651,"Control"
0.055555582,-0.5,"Control"
0.38888884,-1.0555556,"Control"
-0.38888884,0,"Control"
-0.27777791,0.38888884,"Control"
-0.055555582,-0.055555582,"Control"
-0.38888884,0.38888884,"Control"
-0.11111116,-0.22222233,"Control"
0.27777767,0.27777767,"Control"
-0.66666675,-0.16666675,"Control"
-0.27777767,-0.33333302,"Control"
-0.11111069,-0.83333302,"Control"
-0.61111116,-0.055555344,"Control"
-0.11111116,0.66666698,"Control"
0.11111116,0.11111069,"Control"
0,0.11111116,"Control"
-0.33333349,-0.72222233,"Control"
0.38888884,-1.3333335,"Control"
-0.055555582,0.11111116,"Control"
-0.11111116,0,"Control"
0.11111116,-0.38888884,"Control"
-0.05555582,0.72222185,"Control"
-0.33333325,0.05555582,"Control"
-0.83333337,0.61111116,"Control"
0.055555582,-0.44444466,"Control"
-0.5,-1.1111112,"Control"
-0.72222233,-0.66666651,"Control"
0,-0.16666651,"Control"
0.38888884,-0.11111116,"Control"
0.16666675,0.11111116,"Control"
0.27777767,0.11111116,"Control"
0.27777767,-0.38888884,"Control"
-0.27777767,0.055555344,"Control"
-0.16666675,-0.44444418,"Control"
-0.16666675,-0.11111116,"Control"
-0.22222233,0,"Control"
0.055555582,-0.33333302,"Control"
-0.38888884,0.22222185,"Control"
0.22222233,0.16666651,"Control"
-0.22222233,0.16666651,"Control"
-0.66666675,0,"Control"
0.38888884,-1.2222219,"Control"
-0.055555582,0.055555344,"Control"
-0.83333325,-0.83333325,"Control"
-0.55555582,-0.22222209,"Control"
0.33333325,-0.22222185,"Control"
-0.055555582,-0.22222233,"Control"
0.33333325,0,"Control"
-0.16666675,-0.11111116,"Control"
-0.5,0.11111116,"Control"
-0.33333325,-0.11111116,"Control"
-0.55555558,-0.33333349,"Control"
